['2009.07.1608:00', 1.40776, 1.40857, 1.40774, 1.40855, 981.0, 0.2],
['2009.07.1607:45', 1.40847, 1.40847, 1.40717, 1.40773, 741.0, 1],
['2009.07.1607:30', 1.40768, 1.40865, 1.40768, 1.40847, 759.0, 1],
['2009.07.1607:15', 1.40758, 1.4081, 1.40708, 1.40768, 699.0, 1],
['2009.07.1607:00', 1.40699, 1.40769, 1.40674, 1.40761, 720.0, 1],
['2009.07.1606:45', 1.40684, 1.40744, 1.40668, 1.40702, 660.0, 1],
['2009.07.1606:30', 1.40674, 1.40725, 1.40658, 1.40688, 593.0, 1],
['2009.07.1606:15', 1.40648, 1.40735, 1.40639, 1.40671, 756.0, 1],
['2009.07.1606:00', 1.4072, 1.40738, 1.40637, 1.40647, 904.0, 1],
['2009.07.1605:45', 1.40742, 1.40816, 1.40705, 1.40724, 672.0, 1],
['2009.07.1605:30', 1.40683, 1.40746, 1.4066, 1.40738, 457.0, 1],
['2009.07.1605:15', 1.40728, 1.40729, 1.40608, 1.40687, 576.0, 1],
['2009.07.1605:00', 1.40684, 1.4078, 1.40683, 1.40731, 580.0, 1],
['2009.07.1604:45', 1.40626, 1.40737, 1.4062, 1.40682, 491.0, 1],
['2009.07.1604:30', 1.40669, 1.40669, 1.40612, 1.40627, 451.0, 1],
['2009.07.1604:15', 1.407, 1.40732, 1.4066, 1.4067, 711.0, 1],
['2009.07.1604:00', 1.40842, 1.40874, 1.40686, 1.40701, 771.0, 0.2],
['2009.07.1603:45', 1.40821, 1.40854, 1.40721, 1.40844, 565.0, 0.2],
['2009.07.1603:30', 1.40767, 1.4085, 1.40759, 1.40821, 625.0, 0.2],
['2009.07.1603:15', 1.40687, 1.408, 1.40673, 1.40766, 531.0, 0.2],
['2009.07.1603:00', 1.40766, 1.40766, 1.40661, 1.40681, 503.0, 0.2],
['2009.07.1602:45', 1.4075, 1.40788, 1.4073, 1.40766, 477.0, 0.2],
['2009.07.1602:30', 1.40955, 1.40955, 1.40724, 1.40752, 771.0, 0.2],
['2009.07.1602:15', 1.40994, 1.40996, 1.40916, 1.40955, 441.0, 0.2],
['2009.07.1602:00', 1.40928, 1.41041, 1.40891, 1.40997, 504.0, 0.2],
['2009.07.1601:45', 1.40941, 1.40946, 1.40869, 1.40928, 395.0, 0.2],
['2009.07.1601:30', 1.40858, 1.40942, 1.40841, 1.40942, 313.0, 0.2],
['2009.07.1601:15', 1.40875, 1.40915, 1.4084, 1.40856, 336.0, 0.2],
['2009.07.1601:00', 1.41009, 1.41064, 1.40859, 1.40874, 355.0, 0.2],
['2009.07.1600:45', 1.40948, 1.41029, 1.40918, 1.4101, 325.0, 1],
['2009.07.1600:30', 1.40946, 1.40955, 1.40918, 1.40947, 270.0, 1],
['2009.07.1600:15', 1.40963, 1.40971, 1.40909, 1.40948, 255.0, 1],
['2009.07.1600:00', 1.41009, 1.41043, 1.40926, 1.40961, 417.0, 1],
['2009.07.1523:45', 1.41056, 1.41056, 1.40984, 1.41011, 213.0, 1],
['2009.07.1523:30', 1.4111, 1.41111, 1.41046, 1.41053, 301.0, 1],
['2009.07.1523:15', 1.41075, 1.41154, 1.41068, 1.41115, 361.0, 1],
['2009.07.1523:00', 1.41065, 1.41109, 1.41056, 1.41081, 147.0, 1],
['2009.07.1522:45', 1.41058, 1.41075, 1.41006, 1.4107, 330.0, 1],
['2009.07.1522:30', 1.4103, 1.41071, 1.41025, 1.41062, 243.0, 1],
['2009.07.1522:15', 1.41073, 1.41084, 1.41014, 1.41033, 226.0, 1],
['2009.07.1522:00', 1.41064, 1.41107, 1.41027, 1.41075, 508.0, 1],
['2009.07.1521:45', 1.41117, 1.41172, 1.41067, 1.41067, 655.0, 1],
['2009.07.1521:30', 1.41154, 1.4118, 1.41108, 1.41116, 494.0, 1],
['2009.07.1521:15', 1.41186, 1.41221, 1.411, 1.41154, 700.0, 1],
['2009.07.1521:00', 1.41275, 1.41308, 1.4118, 1.41185, 736.0, 0.2],
['2009.07.1520:45', 1.41156, 1.41319, 1.41141, 1.41273, 903.0, 0.2],
['2009.07.1520:30', 1.41163, 1.41203, 1.411, 1.41152, 837.0, 0.2],
['2009.07.1520:15', 1.41147, 1.41245, 1.41124, 1.41165, 1089.0, 0.2],
['2009.07.1520:00', 1.41177, 1.41338, 1.41068, 1.41148, 771.0, 0.2],
['2009.07.1519:45', 1.41176, 1.41249, 1.41111, 1.41179, 630.0, 0.2],
['2009.07.1519:30', 1.41092, 1.41193, 1.41079, 1.41171, 892.0, 0.2],
['2009.07.1519:15', 1.40985, 1.41128, 1.40955, 1.41092, 888.0, 0.2],
['2009.07.1519:00', 1.40929, 1.41082, 1.40922, 1.40987, 886.0, 0.2],
['2009.07.1518:45', 1.41016, 1.41117, 1.40909, 1.4093, 988.0, 0.2],
['2009.07.1518:30', 1.41017, 1.41137, 1.4099, 1.41021, 832.0, 0.2],
['2009.07.1518:15', 1.40994, 1.41084, 1.40981, 1.41018, 1109.0, 0.2],
['2009.07.1518:00', 1.41148, 1.41176, 1.40984, 1.40998, 1009.0, 0.2],
['2009.07.1517:45', 1.41081, 1.41178, 1.41036, 1.4115, 1193.0, 0.2],
['2009.07.1517:30', 1.41048, 1.41178, 1.41009, 1.41082, 1517.0, 0.2],
['2009.07.1517:15', 1.41031, 1.41123, 1.40985, 1.41048, 1572.0, 0.2],
